text,true_label,predicted_label,error_type
dramatic sunhat maybe Mueller hire hr donor because re pub donor refuse part one sided investigation still no look BO hr scandal,0,1,FP
new post outline solo mapping activity science perhaps useful subject too,0,1,FP
xxx h king xxx local NC rap artist look gain local support follow back would very much appreciated thank,0,1,FP
bird will not stop cheep !,0,1,FP
mayor country start news conference talk city staff report come one advocate vacant home tax another transit update tweet highlight,0,1,FP
covid pandemic not over incorrect information cost live undermine effort control virus protect risk today make pledge share information online join I,0,1,FP
Sta not go strike would pointless do not need organize work stoppage happen organically anyway job entail pay invariably people stop show job do not exist,0,1,FP
macroeconomic impact micro intervention important reason poverty persist despite,0,1,FP
India stand Chennai as soon as possible ml increase salary,0,1,FP
know offer residential base master program learn here !,0,1,FP
honduran army go war against invade bug,0,1,FP
Microsoft say product demand remain high report record billion revenue fy q,0,1,FP
parkinson be people biotech company accord therapeutics inc yesterday announce halt new recruitment phase iii program drug dissonant an oral adenine a a receptor antagonist in,0,1,FP
taxi s must,0,1,FP
guy singe no woman no drive good video support saudi woman challenge drive ban in Thai,0,1,FP
meat unlikely trade shortstop prospect Ahmed Rosario year s deadline report Marc Craig news day,0,1,FP
please read request support wonderful charity continue pray Helen wade Michelle,0,1,FP
sybarite trading beginner expert support link ! verunyaaspidov,1,0,FN
wise physician say the good medicine human love some ask if do t work smile answered increase dose,1,0,FN
galvanic realdonaldtrump sorry but not million dead covid total death you s actually low yr yr before research quit believe everything hear news,1,0,FN
highly prestigious competitive award fund european union support scholar pursue ground break research make five Edinburgh academic EEC research,1,0,FN
time snow nondramatic myogiadityanath aditianarayanan truth bankofamerica befall schedule caste atrocity conspiracy partner bofaprivatebank haddock bank axis bank fraud lake rs BP India support no f I r Rubinstein announce croissant kayaking be Indians worstplacetowork sextant,1,0,FN
low sun angle reflective surface fresh snow slow melting process snow pack index,1,0,FN
' virgin bear ' see fish first wild,1,0,FN
disabled car clear right shoulder chalkiest I NB h st stop go traffic back telegraph cyan traffic,1,0,FN
Mazda open Le mans hour return engineer charge s win car tell tag want car,1,0,FN
tinker tony Macon smiling bob blackmambaforev mach zero Christine be possum wholesale hurtfully joey salad call BS ! yrs ago dismantle committee Obama create Ebola SARS h n epidemic come about blame Obama not plan action scenario truth   be fault ! you be research stop drink orange cool cult mentality !,1,0,FN
stress worsen chemical harm pregnancy,1,0,FN
news report not roman salute not salute not restrict Romans but universal greeting since day immemorial an outstretched arm open hand indicate friendship still use people distance one another person raise hand raise hand,1,0,FN
Ebola health care system mishap,1,0,FN
Marilyn go great day live promote cruise heartland,1,0,FN
impact infertility relationship,1,0,FN
cardigan exactly there s nothing link cause text message send perform follow,1,0,FN
video ios engineer integrate desktop mobile firework,1,0,FN
motivation also realm watch support sport mode activity tracking include football basketball aerobics badminton yoga treadmill run biking mode smile face with heart eye motivation reassemble lepton rematch,1,0,FN
pro tip white politician do not diminish biopic woman be work class experience do not,1,0,FN
FedEx stop transport dolphin without air carrier dolphin trade would die ! Oswald,1,0,FN
go vegetarian ' could save life planet ',1,0,FN
kaiser stop lurk useless expect tribute next minute you re block,1,0,FN
ab RR Hadar Goya though Hadar Goya ism Kay ho Goya RR Hadar jeer life Meir hot rehi h nothing like pretend happen sometime chill support Asmara wewatchbbforasim,1,0,FN
faulknerian idea smash huge increase yesterday like entrant nowhere,1,0,FN
ferric echoic exclusively PS get back port vita PS resign shit not pretty inferior graphic low frame rate game not,1,0,FN
flashbackfriday naan oval wedding wedding beautiful time post picture wedding flashbackfriday via,1,0,FN
former salesman accuse lie FBI IRS agent Robert Debora accuse try mislead investigator look ongoing low Southampton corruption probe,1,0,FN
poverty great because behind child labor Pakistan,1,0,FN
sere MC statement regard we president recent tweet violence Mexico,1,0,FN
solemnity hope young man text witness because ignore CAI lack proof not much change title see through unpaid leave not enough,1,0,FN
technology stop snore forever !,1,0,FN
cryptically good job tight stop do not look good,1,0,FN
Bernie need change strategy sorry but need say yes ad good start but do not go full glove debate speech call cheating go lose,1,0,FN
randomization deem need get tough fight dirty like republicans always do ! ! crisis mode drop glove stop polite ! ! !,1,0,FN
harry styles baker stop make doughnut get tired hole thing ! follow smile please love you,1,0,FN
